BAST	fHbp_peptide	NHBA_peptide	NadA_peptide	PorA_VR1	PorA_VR2	MenDeVAR_Bexsero_reactivity	MenDeVAR_Trumenba_reactivity
542	4	569	0	7-2	4	exact match	cross-reactive
543	15	118	0	19-2	13-1	cross-reactive	cross-reactive
544	15	24	0	18-1	3	cross-reactive	cross-reactive
545	90	669	0	17-6	23	insufficient data	insufficient data
546	208	20	0	5-1	10-8	insufficient data	insufficient data
547	22	20	0	5-1	2-2	insufficient data	insufficient data
548	4	2	0	5-2	10-1	exact match	cross-reactive
549	21	9	0	5-1	10-4	none	cross-reactive
550	15	24	0	19-1	15-11	cross-reactive	cross-reactive
551	4	88	0	7-2	4	exact match	cross-reactive
552	646	18	0	7-1	1	insufficient data	insufficient data
553	19	555	0	18-1	3	insufficient data	cross-reactive
554	703	2	0	19	15-1	exact match	insufficient data
555	13	47	0	22	9	insufficient data	cross-reactive
556	19	18	0	22	14	none	cross-reactive
557	15	21	0	19-1	30	cross-reactive	cross-reactive
558	16	21	0	17-1	23	insufficient data	cross-reactive
559	24	337	0	7-2	15	insufficient data	insufficient data
560	13	600	0	5	2	insufficient data	cross-reactive
561	15	595	0	22	14	cross-reactive	cross-reactive
562	605	2	0	7-2	4	exact match	insufficient data
563	202	47	0	5-1	10-1	insufficient data	insufficient data
564	13	25	0	19	15	insufficient data	cross-reactive
565	486	31	0	17-1	23	insufficient data	insufficient data
566	19	24	0	5-1	2-2	insufficient data	cross-reactive
567	13	599	0	22	14-6	insufficient data	cross-reactive
568	15	20	0	22	14	cross-reactive	cross-reactive
569	16	306	0	21	16	insufficient data	cross-reactive
570	649	183	0	18-1	30-5	insufficient data	insufficient data
571	690	118	0	19-2	13-2	insufficient data	insufficient data
572	19	674	0	22	14-6	insufficient data	cross-reactive
573	19	17	0	22	10-1	none	cross-reactive
574	13	31	0	21	16	insufficient data	cross-reactive
575	23	9	0	5-1	10-10	insufficient data	cross-reactive
576	102	17	0	5-1	10-22	insufficient data	insufficient data
577	24	9	0	5-1	10-1	none	insufficient data
578	19	47	0	21	16	none	cross-reactive
579	25	7	0	7-2	10-1	insufficient data	cross-reactive
580	19	197	0	22	9	none	cross-reactive
581	13	114	0	18-1	3	insufficient data	cross-reactive
582	4	558	0	22	14	cross-reactive	cross-reactive
583	19	9	0	22	9	none	cross-reactive
584	291	21	0	7-2	13	insufficient data	insufficient data
585	16	6	0	19	15	none	cross-reactive
586	19	29	0	7-1	1-1	insufficient data	cross-reactive
587	90	118	0	19-2	13-1	insufficient data	insufficient data
588	202	47	0	5-1	10-4	insufficient data	insufficient data
589	14	471	0	7-2	4	exact match	cross-reactive
590	19	31	0	19	15	none	cross-reactive
591	15	21	0	17	13-1	cross-reactive	cross-reactive
592	13	24	0	7-2	4	exact match	cross-reactive
593	4	671	0	7-2	4	exact match	cross-reactive
594	650	20	0	5-1	10-8	insufficient data	insufficient data
595	15	21	0	7-2	4	exact match	cross-reactive
596	238	47	0	19	15	insufficient data	insufficient data
597	4	10	0	18	25-14	cross-reactive	cross-reactive
598	602	17	0	22	9	insufficient data	insufficient data
599	597	17	0	19	15	insufficient data	insufficient data
600	14	665	0	7-2	4	exact match	cross-reactive
601	15	21	0	7-2	30	cross-reactive	cross-reactive
602	245	21	0	19-1	15-11	insufficient data	insufficient data
603	202	10	0	19	15	cross-reactive	insufficient data
604	15	21	0	5	2-67	cross-reactive	cross-reactive
605	19	17	0	21	16	none	cross-reactive
606	653	2	0	7-2	4	exact match	insufficient data
607	13	20	0	7-13	14	insufficient data	cross-reactive
608	611	18	0	22	14	insufficient data	insufficient data
609	47	118	0	19-2	13-7	insufficient data	cross-reactive
610	167	2	0	7	30	exact match	insufficient data
611	13	220	0	22	9	insufficient data	cross-reactive
612	49	254	0	7	16	insufficient data	cross-reactive
613	430	20	0	5-1	10-8	insufficient data	insufficient data
614	13	20	0	7-12	14	insufficient data	cross-reactive
615	19	2	0	18	25-11	exact match	cross-reactive
616	13	184	0	22	9	insufficient data	cross-reactive
617	215	18	0	22	14	cross-reactive	insufficient data
618	29	3	100	7	16-44	insufficient data	insufficient data
619	13	24	0	5-1	10-26	insufficient data	cross-reactive
620	1	20	0	7-1	1	exact match	cross-reactive
621	14	129	0	7-1	1	cross-reactive	cross-reactive
622	24	10	0	7-1	1	cross-reactive	insufficient data
623	345	18	0	22	14	insufficient data	insufficient data
624	456	20	0	22	9	insufficient data	insufficient data
625	21	20	0	7-2	9	insufficient data	cross-reactive
626	13	191	0	21	16	insufficient data	cross-reactive
627	102	29	0	22	14	insufficient data	insufficient data
628	25	7	0	5-1	10-37	insufficient data	cross-reactive
629	119	560	0	21	16	insufficient data	insufficient data
630	4	675	0	7-2	4	exact match	cross-reactive
631	19	31	0	17-1	23-6	none	cross-reactive
632	13	114	0	7-1	1	insufficient data	cross-reactive
633	357	17	0	22	9	insufficient data	insufficient data
634	45	24	0	22	14	insufficient data	exact match
635	102	58	0	7	30-3	insufficient data	insufficient data
636	4	29	0	5-2	10	cross-reactive	cross-reactive
637	102	58	0	7	30	insufficient data	insufficient data
638	561	543	0	18-10	43	insufficient data	insufficient data
639	5	29	0	7	13-1	insufficient data	insufficient data
640	102	58	0	7	30-2	insufficient data	insufficient data
641	567	481	0	18-10	43	insufficient data	insufficient data
642	1	3	0	7	16	exact match	cross-reactive
643	689	481	0	18-10	43	insufficient data	insufficient data
644	19	2	0	19	15	exact match	cross-reactive
645	16	21	0	22-1	4	exact match	cross-reactive
646	24	49	0	19	15	insufficient data	insufficient data
647	13	24	0	5	2-43	insufficient data	cross-reactive
648	625	17	0	21	10-8	insufficient data	insufficient data
649	23	130	0	18-1	1	insufficient data	cross-reactive
650	12	12	0	5-1	2-2	cross-reactive	insufficient data
651	102	58	0	7	30-5	insufficient data	insufficient data
652	417	2	0	18-1	3	exact match	insufficient data
653	19	17	0	22	2-75	none	cross-reactive
654	561	542	0	18-10	43	insufficient data	insufficient data
655	4	10	0	5-2	10-49	cross-reactive	cross-reactive
656	16	20	0	22	14	insufficient data	cross-reactive
657	94	145	0	18-4	25	insufficient data	insufficient data
658	689	542	0	18-10	43	insufficient data	insufficient data
659	4	9	0	5-1	10-4	cross-reactive	cross-reactive
660	13	24	0	5	2-12	insufficient data	cross-reactive
661	94	10	0	18	25-1	cross-reactive	insufficient data
662	22	20	0	5	2	insufficient data	insufficient data
663	13	25	0	5	2	insufficient data	cross-reactive
664	771	20	2	5	2	insufficient data	insufficient data
665	34	2	0	19	15	exact match	insufficient data
666	94	6	0	7-2	13	insufficient data	insufficient data
667	34	2	0	22	14-4	exact match	insufficient data
668	15	21	0	18	25-1	cross-reactive	cross-reactive
669	13	20	0	18-7	9	insufficient data	cross-reactive
670	5	29	0	7	13	insufficient data	insufficient data
671	19	43	0	7	9	none	cross-reactive
672	4	10	0	18	25	cross-reactive	cross-reactive
673	210	21	0	5-1	10-1	insufficient data	insufficient data
674	23	9	0	5-11	10-1	insufficient data	cross-reactive
675	776	20	2	5-1	10-8	insufficient data	insufficient data
676	35	26	0	7-2	4	exact match	insufficient data
677	125	6	0	21	26-2	insufficient data	insufficient data
678	21	6	0	18-1	3	none	cross-reactive
679	13	21	0	19	15-1	insufficient data	cross-reactive
680	101	2	0	5-1	10-10	exact match	insufficient data
681	628	20	0	18-1	3-4	insufficient data	insufficient data
682	5	126	0	20	9	insufficient data	insufficient data
683	15	21	0	19-1	2-2	cross-reactive	cross-reactive
684	15	21	0	18-1	25	cross-reactive	cross-reactive
685	87	20	0	7-2	4	exact match	cross-reactive
686	49	254	0	7-2	16	insufficient data	cross-reactive
687	130	20	2	5	2	insufficient data	insufficient data
688	108	6	0	22	14	insufficient data	insufficient data
689	15	21	0	19-1	30-2	cross-reactive	cross-reactive
690	246	18	0	22	14	insufficient data	insufficient data
691	783	20	2	5	2	insufficient data	insufficient data
692	24	12	0	5-2	2-2	insufficient data	insufficient data
693	16	572	0	18-1	3	insufficient data	cross-reactive
694	25	7	0	5-1	10-15	insufficient data	cross-reactive
695	14	573	0	7-2	4	exact match	cross-reactive
696	25	130	0	7-1	1	insufficient data	cross-reactive
697	25	6	0	5-1	10-4	none	cross-reactive
698	354	2	0	7-2	4	exact match	insufficient data
699	31	20	0	22	14	insufficient data	insufficient data
700	19	12	0	17	9	insufficient data	cross-reactive
701	24	2	0	18-1	3	exact match	insufficient data
702	245	2	0	18-1	34	exact match	insufficient data
703	15	21	0	7	30-3	cross-reactive	cross-reactive
704	87	20	2	5	2	insufficient data	cross-reactive
705	16	669	0	20	23-2	insufficient data	cross-reactive
706	4	21	0	22	14	cross-reactive	cross-reactive
707	13	24	0	5-2	10-2	insufficient data	cross-reactive
708	70	21	0	7-2	16	insufficient data	insufficient data
709	786	20	2	5	2	insufficient data	insufficient data
710	25	7	0	5-1	10-62	insufficient data	cross-reactive
711	25	7	0	5-11	10-1	insufficient data	cross-reactive
712	4	24	0	7-2	4	exact match	cross-reactive
713	102	58	0	7	30-7	insufficient data	insufficient data
714	23	9	0	5-1	10-62	insufficient data	cross-reactive
715	16	20	0	5-1	2-2	insufficient data	cross-reactive
716	25	24	0	5-4	2-2	insufficient data	cross-reactive
717	118	20	0	5	2	insufficient data	insufficient data
718	61	17	0	18	25-1	insufficient data	insufficient data
719	16	20	0	18	3	insufficient data	cross-reactive
720	74	228	0	19	26	insufficient data	insufficient data
721	4	191	0	7-2	4	exact match	cross-reactive
722	499	2	0	18	25-1	exact match	insufficient data
723	22	6	0	12-1	13-1	none	insufficient data
724	47	197	0	5-2	10-2	none	cross-reactive
725	24	9	0	22	26	none	insufficient data
726	19	17	0	5-1	10-1	none	cross-reactive
727	59	21	0	21	16	insufficient data	insufficient data
728	23	636	0	5-1	10-7	insufficient data	cross-reactive
729	4	20	0	7	3	cross-reactive	cross-reactive
730	16	698	0	20	23	insufficient data	cross-reactive
731	13	130	0	7-1	1	insufficient data	cross-reactive
732	19	43	0	7-2	13-1	none	cross-reactive
733	4	20	0	7	16	cross-reactive	cross-reactive
734	14	29	0	5-2	10	cross-reactive	cross-reactive
735	160	20	0	22	14	insufficient data	insufficient data
736	16	612	0	18	25	insufficient data	cross-reactive
737	25	24	0	5-2	10	insufficient data	cross-reactive
738	781	20	2	5	2	insufficient data	insufficient data
739	260	9	0	5-1	10-1	insufficient data	insufficient data
740	0	0	119	5-1	10-8	insufficient data	none
741	4	10	0	18	25-15	cross-reactive	cross-reactive
742	23	20	3	5	2	cross-reactive	cross-reactive
743	785	20	3	5-1	10-8	cross-reactive	insufficient data
744	14	2	0	22	14	exact match	cross-reactive
745	285	478	0	22-11	13-22	insufficient data	insufficient data
746	25	6	0	5-11	2-28	none	cross-reactive
747	16	601	0	22-4	14-13	insufficient data	cross-reactive
748	158	3	1	19	15	insufficient data	insufficient data
749	13	20	0	19	15-1	insufficient data	cross-reactive
750	24	21	0	7-2	13-1	insufficient data	insufficient data
751	19	87	0	5-1	2-2	insufficient data	cross-reactive
752	30	311	0	5-1	10-1	insufficient data	cross-reactive
753	453	20	0	5	2	insufficient data	insufficient data
754	102	58	0	7-2	30-5	insufficient data	insufficient data
755	21	239	0	18-1	30	insufficient data	cross-reactive
756	13	114	0	21-7	16-46	insufficient data	cross-reactive
757	19	17	0	22	16	none	cross-reactive
758	16	21	0	19	15	insufficient data	cross-reactive
759	22	709	0	18	25-15	insufficient data	insufficient data
760	363	20	0	22	14	insufficient data	insufficient data
761	12	12	0	12-1	13-15	cross-reactive	insufficient data
762	25	13	0	18-1	1-10	insufficient data	cross-reactive
763	707	118	0	19-2	13-1	insufficient data	insufficient data
764	16	630	0	22	14	insufficient data	cross-reactive
765	4	20	2	5-1	10-1	cross-reactive	cross-reactive
766	13	21	0	19-1	15-11	insufficient data	cross-reactive
767	101	609	0	7-2	16-82	insufficient data	insufficient data
768	14	337	0	7-2	4	exact match	cross-reactive
769	97	21	0	0	0	insufficient data	insufficient data
770	16	20	0	21	16	insufficient data	cross-reactive
771	24	2	0	5-2	2	exact match	insufficient data
772	13	24	0	5	2-59	insufficient data	cross-reactive
773	5	29	0	5-2	10	insufficient data	insufficient data
774	47	118	0	22	9	insufficient data	cross-reactive
775	666	0	2	5-1	10-8	insufficient data	insufficient data
776	588	49	0	19	15	insufficient data	insufficient data
777	9	29	3	5	2	cross-reactive	insufficient data
778	18	20	0	12-1	16-8	insufficient data	insufficient data
779	764	29	6	5	2	cross-reactive	insufficient data
780	31	20	0	18-1	3	insufficient data	insufficient data
781	31	0	0	22	14	none	insufficient data
782	23	2	0	18	25-10	exact match	cross-reactive
783	110	197	0	19	13	cross-reactive	insufficient data
784	34	6	0	12-1	13-1	insufficient data	insufficient data
785	319	2	0	19	15	exact match	insufficient data
786	13	9	0	21-19	16	insufficient data	cross-reactive
787	762	29	6	5	2	cross-reactive	insufficient data
788	16	21	0	21-2	28	insufficient data	cross-reactive
789	0	0	1	7	16	none	none
790	13	2	0	21	4	exact match	cross-reactive
791	23	130	0	7-1	1	insufficient data	cross-reactive
792	1	0	1	7	16	exact match	cross-reactive
793	4	21	0	21	16	cross-reactive	cross-reactive
794	38	347	0	7-1	10	insufficient data	insufficient data
795	84	504	0	12-1	13-5	insufficient data	insufficient data
796	587	2	0	18-1	34	exact match	insufficient data
797	14	18	0	22	14	cross-reactive	cross-reactive
798	4	125	0	18	25	cross-reactive	cross-reactive
799	1	17	0	22	9	exact match	cross-reactive
800	14	305	0	21	16	cross-reactive	cross-reactive
801	774	20	2	5	2	insufficient data	insufficient data
802	80	503	0	7-2	14	insufficient data	insufficient data
803	244	0	1	7	16	insufficient data	insufficient data
804	102	191	0	7-2	30	insufficient data	insufficient data
805	4	145	0	18-1	3	cross-reactive	cross-reactive
806	19	32	0	5-1	2-2	insufficient data	cross-reactive
807	341	20	0	7-2	4	exact match	insufficient data
808	561	475	0	18-10	43	insufficient data	insufficient data
809	19	2	0	12-1	13-2	exact match	cross-reactive
810	19	9	0	5-1	10-1	none	cross-reactive
811	16	669	0	17-6	23	insufficient data	cross-reactive
812	4	2	0	12-1	9-20	exact match	cross-reactive
813	110	2	0	7-2	4	exact match	insufficient data
814	0	0	0	21-13	1	none	none
815	16	306	0	5-1	2-2	insufficient data	cross-reactive
816	101	367	0	18-1	34	insufficient data	insufficient data
817	19	31	0	19	15-2	none	cross-reactive
818	102	18	0	22	14	insufficient data	insufficient data
819	24	0	0	17	16-3	none	insufficient data
820	767	29	6	5	2	cross-reactive	insufficient data
821	13	20	0	21	16	insufficient data	cross-reactive
822	38	347	0	7-3	10-5	insufficient data	insufficient data
823	763	8	0	12	16	insufficient data	insufficient data
824	25	24	0	22	14-6	insufficient data	cross-reactive
825	4	29	0	5-1	2-2	cross-reactive	cross-reactive
826	541	2	0	22	26	exact match	insufficient data
827	19	47	0	19-3	15	none	cross-reactive
828	32	2	0	21	16	exact match	insufficient data
829	99	44	0	7-2	13-1	insufficient data	insufficient data
830	22	29	3	0	0	cross-reactive	insufficient data
831	37	20	2	5	2	cross-reactive	insufficient data
832	34	64	0	22	14-4	insufficient data	insufficient data
833	19	708	0	17-1	23	insufficient data	cross-reactive
834	13	2	0	5-2	10-1	exact match	cross-reactive
835	4	214	0	7-2	4	exact match	cross-reactive
836	25	0	0	5-1	2-2	none	cross-reactive
837	16	306	0	7-2	13-9	insufficient data	cross-reactive
838	4	29	0	18-1	3	cross-reactive	cross-reactive
839	20	2	0	5	2	exact match	insufficient data
840	727	17	0	19	15	insufficient data	insufficient data
841	21	2	0	5-1	2-2	exact match	cross-reactive
842	5	29	0	7-2	13-1	insufficient data	insufficient data
843	19	311	0	5-1	10-1	insufficient data	cross-reactive
844	34	248	0	22	14-4	insufficient data	insufficient data
845	101	513	0	7-2	16-122	insufficient data	insufficient data
846	14	608	0	7-2	4	exact match	cross-reactive
847	19	6	0	7-46	13	none	cross-reactive
848	34	2	0	21	16	exact match	insufficient data
849	593	21	0	19-1	15-11	insufficient data	insufficient data
850	22	357	8	7-1	1	exact match	insufficient data
851	25	24	0	7	30	insufficient data	cross-reactive
852	19	6	0	5-2	10-9	none	cross-reactive
853	21	114	0	19-2	13-1	insufficient data	cross-reactive
854	102	58	0	7-2	30-1	insufficient data	insufficient data
855	4	20	0	18-1	3	cross-reactive	cross-reactive
856	4	10	0	18	25-37	cross-reactive	cross-reactive
857	25	24	0	5	2	insufficient data	cross-reactive
858	4	24	0	22	14	cross-reactive	cross-reactive
859	1	3	118	7-1	1	exact match	cross-reactive
860	16	20	0	7-2	13-1	insufficient data	cross-reactive
861	4	2	0	12-1	13	exact match	cross-reactive
862	765	10	0	17	16-3	cross-reactive	insufficient data
863	16	9	0	5-1	10-4	none	cross-reactive
864	766	29	6	5	2	cross-reactive	insufficient data
865	73	358	0	5-1	10-1	insufficient data	insufficient data
866	4	45	0	18-2	1-1	cross-reactive	cross-reactive
867	597	17	0	22	9	insufficient data	insufficient data
868	4	122	0	18-1	3	cross-reactive	cross-reactive
869	19	2	0	7-4	1	exact match	cross-reactive
870	15	21	0	22	9-10	cross-reactive	cross-reactive
871	16	601	0	22	14-13	insufficient data	cross-reactive
872	19	6	0	19	15	none	cross-reactive
873	215	20	0	7-2	4	exact match	insufficient data
874	769	707	0	12	23	insufficient data	insufficient data
875	4	571	0	7-2	4	exact match	cross-reactive
876	22	2	3	5	2	exact match	insufficient data
877	96	34	0	7-1	1	insufficient data	insufficient data
878	13	20	0	20	9	insufficient data	cross-reactive
879	13	24	0	7-2	30-4	insufficient data	cross-reactive
880	24	0	0	5-1	10-4	none	insufficient data
881	69	20	0	22	14	insufficient data	insufficient data
882	4	45	0	18-2	1-2	cross-reactive	cross-reactive
883	1	323	1	7-1	1	exact match	cross-reactive
884	15	610	0	22	9	cross-reactive	cross-reactive
885	694	2	0	7-2	2	exact match	insufficient data
886	16	20	0	5	2-67	insufficient data	cross-reactive
887	784	20	2	5	2	insufficient data	insufficient data
888	32	6	0	7-1	1	insufficient data	insufficient data
889	14	20	0	19	15-1	cross-reactive	cross-reactive
890	726	20	0	7-2	4	exact match	insufficient data
891	21	239	0	7-1	1	insufficient data	cross-reactive
892	13	24	0	7	30-3	insufficient data	cross-reactive
893	19	2	0	18-1	34-4	exact match	cross-reactive
894	19	17	0	7	30-3	none	cross-reactive
895	16	306	0	7-2	13-33	insufficient data	cross-reactive
